Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Margins,Price / International,Compare At Price / International,Status
brembo-1a-6017a-r-328x28mm-12-9-2-piece-discs-brake-disc,"Brembo 1A-.6017A  328x28mm (12.9"") 2-Piece Discs Brake Disc (Rear)","<h4><strong>Description</strong></h4>This is  328x28mm (12.9"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included, Rear        <p>&nbsp;</p>        <h4>Features</h4>        <p><strong>Disc</strong></p><table><tbody>  <tr><td>Disc Material/Finish</td><td>:</td><td>Advanced High Carbon Alloy / Corrosion Resistant Plating</td></tr>  <tr><td>Disc Diameter</td><td>:</td><td>328mm</td></tr>  <tr><td>Disc Width (Measurement)</td><td>:</td><td>28mm</td></tr>  <tr><td>Disc Air Gap (Measurement)</td><td>:</td><td>17mm</td></tr>  <tr><td>Disc Annulus (Measurement)</td><td>:</td><td>54mm</td></tr>  <tr><td>Disc Construction</td><td>:</td><td>2-Piece Disc Assembly</td></tr>  <tr><td>Disc Vane Design (Measurement)</td><td>:</td><td>Vented Curved 48 Vane</td></tr>  <tr><td>Disc To Hat Mounting System</td><td>:</td><td>Floating D-Bobbin with Anti Rattle Spring</td></tr></tbody></table><p><strong>Friction Material</strong></p><table><tbody>  <tr><td>Pad Compound</td><td>:</td><td>Brembo High Performance FM1000</td></tr>  <tr><td>Pad Volume / Surface Area</td><td>:</td><td>48.2 | 53.6</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>What's Included</h4><ul>  <li>Brake Lines: Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge</li>  <li>Mounting Hardware: Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation</li></ul>        <p>&nbsp;</p>        <p>&nbsp;</p><h4>Compatibility</h4><div class=""compatibility-accordion-wrapper""><div class=""compatibility-tab"">                        <input name=""tabs"" type=""checkbox"" id=""compatibility-tab-1"">                        <label for=""compatibility-tab-1""><b>ASTON MARTIN</b><br></label>                                                    <div class=""compatibility-tab-content""><ul><li>DB9</li><li>V8 VANTAGE</li></ul></div></div></div><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>          <p>&nbsp;</p>        <h4>Part Number</h4><p>BREMBO-201.6001A (Cross Drilled)</p><p>BREMBO-202.6001A (TY1)</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Brembo</p>",Brembo,,Brake,"Uploaded by_Muazzim, Brand_Brembo, Product Type_Brake, Category_Brake Discs",TRUE,Disc Type,Cross Drilled,,,,,BREMBO-201.6001A,25000,shopify,continue,manual,1725,1875,TRUE,TRUE,201.6001A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-328-332-345-355mm-drilled-med.jpg,1,"Brembo 1A-.6017A (R)  328x28mm (12.9"") 2-Piece Discs Brake Disc",,"Brembo 1A-.6017A (R)  328x28mm (12.9"") 2-Piece Discs Brake Disc","Get Brembo 1A-.6017A (R)  328x28mm (12.9"") 2-Piece Discs Brake Disc for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.",,,,201.6001A,,,new,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-328-332-345-355mm-drilled-med.jpg,kg,8708949900,,,,,active
brembo-1a-6017a-r-328x28mm-12-9-2-piece-discs-brake-disc,,,,,,,,,TY1,,,,,BREMBO-202.6001A,25000,shopify,continue,manual,1725,1875,TRUE,TRUE,202.6001A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-328-332-345-355mm-slotted-type-1-med.jpg,2,,,,,,,,202.6001A,,,,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-328-332-345-355mm-slotted-type-1-med.jpg,kg,8708949900,,,,,
brembo-2m-9005a-f-365x34mm-14-4-2-piece-discs-brake-disc,"Brembo 2M-.9005A  365x34mm (14.4"") 2-Piece Discs Brake Disc (Front)","<h4><strong>Description</strong></h4>This is  365x34mm (14.4"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included, Front        <p>&nbsp;</p>        <h4>Features</h4>        <p><strong>Disc</strong></p><table><tbody>  <tr><td>Disc Material/Finish</td><td>:</td><td>Advanced High Carbon Alloy / Corrosion Resistant Plating</td></tr>  <tr><td>Disc Diameter</td><td>:</td><td>365mm</td></tr>  <tr><td>Disc Width (Measurement)</td><td>:</td><td>34mm</td></tr>  <tr><td>Disc Air Gap (Measurement)</td><td>:</td><td>14mm</td></tr>  <tr><td>Disc Annulus (Measurement)</td><td>:</td><td>62mm</td></tr>  <tr><td>Disc Construction</td><td>:</td><td>2-Piece Disc Assembly</td></tr>  <tr><td>Disc Vane Design (Measurement)</td><td>:</td><td>Vented Curved 48 Vane</td></tr>  <tr><td>Disc To Hat Mounting System</td><td>:</td><td>Floating H-Bobbin with Anti Rattle Spring</td></tr></tbody></table><p><strong>Friction Material</strong></p><table><tbody>  <tr><td>Pad Compound</td><td>:</td><td>Brembo High Performance FM1000</td></tr>  <tr><td>Pad Volume / Surface Area</td><td>:</td><td>48.2 | 53.6</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>What's Included</h4><ul>  <li>Brake Lines: Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge</li>  <li>Mounting Hardware: Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation</li></ul>        <p>&nbsp;</p>        <p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>          <p>&nbsp;</p>        <h4>Part Number</h4><p>BREMBO-101.9007A (Cross Drilled)</p><p>BREMBO-102.9007A (TY1)</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Brembo</p>",Brembo,,Brake,"Uploaded by_Muazzim, Brand_Brembo, Product Type_Brake, Category_Brake Discs",TRUE,Disc Type,Cross Drilled,,,,,BREMBO-101.9007A,25000,shopify,continue,manual,1877.21,2040.44,TRUE,TRUE,101.9007A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-drilled-med.jpg,1,"Brembo 2M-.9005A (F)  365x34mm (14.4"") 2-Piece Discs Brake Disc",,"Brembo 2M-.9005A (F)  365x34mm (14.4"") 2-Piece Discs Brake Disc","Get Brembo 2M-.9005A (F)  365x34mm (14.4"") 2-Piece Discs Brake Disc for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.",,,,101.9007A,,,new,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-drilled-med.jpg,kg,8708949900,,,,,active
brembo-2m-9005a-f-365x34mm-14-4-2-piece-discs-brake-disc,,,,,,,,,TY1,,,,,BREMBO-102.9007A,25000,shopify,continue,manual,1877.21,2040.44,TRUE,TRUE,102.9007A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-slotted-type-1-med.jpg,2,,,,,,,,102.9007A,,,,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-slotted-type-1-med.jpg,kg,8708949900,,,,,
brembo-2m-9005a-f-380x34mm-15-2-piece-discs-brake-disc,"Brembo 2M-.9005A  380x34mm (15"") 2-Piece Discs Brake Disc (Front)","<h4><strong>Description</strong></h4>This is  380x34mm (15"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included, Front        <p>&nbsp;</p>        <h4>Features</h4>        <p><strong>Disc</strong></p><table><tbody>  <tr><td>Disc Material/Finish</td><td>:</td><td>Advanced High Carbon Alloy / Corrosion Resistant Plating</td></tr>  <tr><td>Disc Diameter</td><td>:</td><td>380mm</td></tr>  <tr><td>Disc Width (Measurement)</td><td>:</td><td>34mm</td></tr>  <tr><td>Disc Air Gap (Measurement)</td><td>:</td><td>14mm</td></tr>  <tr><td>Disc Annulus (Measurement)</td><td>:</td><td>62mm</td></tr>  <tr><td>Disc Construction</td><td>:</td><td>2-Piece Disc Assembly</td></tr>  <tr><td>Disc Vane Design (Measurement)</td><td>:</td><td>Vented Curved 48 Vane</td></tr>  <tr><td>Disc To Hat Mounting System</td><td>:</td><td>Floating H-Bobbin with Anti Rattle Spring</td></tr></tbody></table><p><strong>Friction Material</strong></p><table><tbody>  <tr><td>Pad Compound</td><td>:</td><td>Brembo High Performance FM1000</td></tr>  <tr><td>Pad Volume / Surface Area</td><td>:</td><td>48.2 | 53.6</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>What's Included</h4><ul>  <li>Brake Lines: Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge</li>  <li>Mounting Hardware: Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation</li></ul>        <p>&nbsp;</p>        <p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>          <p>&nbsp;</p>        <h4>Part Number</h4><p>BREMBO-101.9003A (Cross Drilled)</p><p>BREMBO-102.9003A (TY1)</p><p>BREMBO-103.9003A (TY3)</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Brembo</p>",Brembo,,Brake,"Uploaded by_Muazzim, Brand_Brembo, Product Type_Brake, Category_Brake Discs",TRUE,Disc Type,Cross Drilled,,,,,BREMBO-101.9003A,25000,shopify,continue,manual,1978.68,2150.74,TRUE,TRUE,101.9003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-drilled-med.jpg,1,"Brembo 2M-.9005A (F)  380x34mm (15"") 2-Piece Discs Brake Disc",,"Brembo 2M-.9005A (F)  380x34mm (15"") 2-Piece Discs Brake Disc","Get Brembo 2M-.9005A (F)  380x34mm (15"") 2-Piece Discs Brake Disc for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.",,,,101.9003A,,,new,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-drilled-med.jpg,kg,8708949900,,,,,active
brembo-2m-9005a-f-380x34mm-15-2-piece-discs-brake-disc,,,,,,,,,TY1,,,,,BREMBO-102.9003A,25000,shopify,continue,manual,1978.68,2150.74,TRUE,TRUE,102.9003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-slotted-type-1-med.jpg,2,,,,,,,,102.9003A,,,,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-slotted-type-1-med.jpg,kg,8708949900,,,,,
brembo-2m-9005a-f-380x34mm-15-2-piece-discs-brake-disc,,,,,,,,,TY3,,,,,BREMBO-103.9003A,25000,shopify,continue,manual,1978.68,2150.74,TRUE,TRUE,103.9003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380x34mm-slotted-type-3-med.jpg,3,,,,,,,,103.9003A,,,,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380x34mm-slotted-type-3-med.jpg,kg,8708949900,,,,,
brembo-2d-6002a-f-380x34mm-15-2-piece-discs-brake-disc,"Brembo 2D-.6002A  380x34mm (15"") 2-Piece Discs Brake Disc (Front)","<h4><strong>Description</strong></h4>This is  380x34mm (15"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included, Front        <p>&nbsp;</p>        <h4>Features</h4>        <p><strong>Disc</strong></p><table><tbody>  <tr><td>Disc Material/Finish</td><td>:</td><td>Advanced High Carbon Alloy / Corrosion Resistant Plating</td></tr>  <tr><td>Disc Diameter</td><td>:</td><td>380mm</td></tr>  <tr><td>Disc Width (Measurement)</td><td>:</td><td>34mm</td></tr>  <tr><td>Disc Air Gap (Measurement)</td><td>:</td><td>14mm</td></tr>  <tr><td>Disc Annulus (Measurement)</td><td>:</td><td>62mm</td></tr>  <tr><td>Disc Construction</td><td>:</td><td>2-Piece Disc Assembly</td></tr>  <tr><td>Disc Vane Design (Measurement)</td><td>:</td><td>Vented Curved 48 Vane</td></tr>  <tr><td>Disc To Hat Mounting System</td><td>:</td><td>Floating H-Bobbin with Anti Rattle Spring</td></tr></tbody></table><p><strong>Friction Material</strong></p><table><tbody>  <tr><td>Pad Compound</td><td>:</td><td>Brembo High Performance FM1000</td></tr>  <tr><td>Pad Volume / Surface Area</td><td>:</td><td>48.2 | 53.6</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>What's Included</h4><ul>  <li>Brake Lines: Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge</li>  <li>Mounting Hardware: Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation</li></ul>        <p>&nbsp;</p>        <p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>          <p>&nbsp;</p>        <h4>Part Number</h4><p>BREMBO-101.9006A (Cross Drilled)</p><p>BREMBO-102.9006A (TY1)</p><p>BREMBO-103.9006A (TY3)</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Brembo</p>",Brembo,,Brake,"Uploaded by_Muazzim, Brand_Brembo, Product Type_Brake, Category_Brake Discs",TRUE,Disc Type,Cross Drilled,,,,,BREMBO-101.9006A,25000,shopify,continue,manual,2486.03,2702.21,TRUE,TRUE,101.9006A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-drilled-med.jpg,1,"Brembo 2D-.6002A (F)  380x34mm (15"") 2-Piece Discs Brake Disc",,"Brembo 2D-.6002A (F)  380x34mm (15"") 2-Piece Discs Brake Disc","Get Brembo 2D-.6002A (F)  380x34mm (15"") 2-Piece Discs Brake Disc for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.",,,,101.9006A,,,new,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-drilled-med.jpg,kg,8708949900,,,,,active
brembo-2d-6002a-f-380x34mm-15-2-piece-discs-brake-disc,,,,,,,,,TY1,,,,,BREMBO-102.9006A,25000,shopify,continue,manual,2486.03,2702.21,TRUE,TRUE,102.9006A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-slotted-type-1-med.jpg,2,,,,,,,,102.9006A,,,,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380mm-slotted-type-1-med.jpg,kg,8708949900,,,,,
brembo-2d-6002a-f-380x34mm-15-2-piece-discs-brake-disc,,,,,,,,,TY3,,,,,BREMBO-103.9006A,25000,shopify,continue,manual,2486.03,2702.21,TRUE,TRUE,103.9006A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380x34mm-slotted-type-3-med.jpg,3,,,,,,,,103.9006A,,,,,,,,,,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-2-piece-disc-380x34mm-slotted-type-3-med.jpg,kg,8708949900,,,,,
