link,title,item_no,image_list,description,compatibility_list,variants
https://eurolub.com/en/wiv-eco-5w-30-p3685/,WIV ECO 5W-30,211XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/992392_211xxx.png'],"['<p>Ultra high-tech engine oil for modern gas and iesel engines used in passenger cars.</p>', '<p>Ultra high-tech engine oil for modern gasoline and diesel passenger cars. With its high fuel efficiency, WIV ECO 5W-30 helps reduce emissions and protect the environment. WIV ECO 5W-30 was specifically developed for engines with extended maintenance intervals (WIV). Additionally, this engine oil extends the service life of the particulate filter.</p>']","['<li>ACEA C3</li>', '<li>API SN</li>', '<li>BMW Longlife-04</li>', '<li>MB 229.51</li>', '<li>Fiat 9.55535-S3</li>', '<li>Porsche C30</li>', '<li>VW 504.00</li>', '<li>VW 507.00</li>']","[{'sku': '211001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/937761_211001.png', 'name': '1 L'}, {'sku': '211005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/423069_211005.png', 'name': '5 L'}, {'sku': '211006', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/203413_211006.png', 'name': '6L'}, {'sku': '211020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/1051_211020.png', 'name': '20 L'}, {'sku': '211030', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/421794_211030.png', 'name': '30 L'}, {'sku': '211060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/913745_211060.png', 'name': '60 L'}, {'sku': '211208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/522346_211208.png', 'name': '208 L'}, {'sku': '211100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/51412_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/cleantec-5w-30-p4025/,CLEANTEC 5W-30,349XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/275575_349xxx.png'],['<p>Mid SAPS engine oil for modern gas and diesel engines used in passenger cars with exhaust post-treatment systems (diesel particle filter). Pump-jet engines in compliance with relevant regulation!</p>'],"['<li>ACEA C2</li>', '<li>ACEA C3</li>', '<li>API SN</li>', '<li>API CF</li>', '<li>MB 229.51</li>', '<li>MB 229.52</li>', '<li>VW 502.00</li>', '<li>VW 505.00</li>', '<li>VW 505.01</li>', '<li>Fiat 9.55535-S3</li>', '<li>BMW Longlife-04</li>', '<li>GM dexos2®</li>', '<li>RN 0700</li>', '<li>RN 0710</li>', '<li>Opel OV0401547-D30</li>', '<li>Chrysler MS 11106</li>']","[{'sku': '349001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/55950_349001.png', 'name': '1 L'}, {'sku': '349005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/535629_349005.png', 'name': '5 L'}, {'sku': '349020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/283427_349020.png', 'name': '20 L'}, {'sku': '349060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/924139_349060.png', 'name': '60 L'}, {'sku': '349208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/518659_349208.png', 'name': '208 L'}, {'sku': '349100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/437669_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/multitec-ford-5w-30-p3706/,MULTITEC (FORD) 5W-30,214XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/800097_214xxx.png'],"['<p>High-performance, low-viscosity engine oil for gas and diesel engines used in passenger cars and vehicles complying with the relevant regulation.</p>']","['<li>ACEA A5/B5</li>', '<li>API SL</li>', '<li>API CF</li>', '<li>Ford WSS-M2C913-A</li>', '<li>Ford WSS-M2C913-B</li>', '<li>Ford WSS-M2C913-C</li>', '<li>Ford WSS-M2C913-D</li>', '<li>RN 0700</li>', '<li>STJLR.03.5003</li>', '<li>VWC 53036</li>']","[{'sku': '214001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/321229_214001.png', 'name': '1 L'}, {'sku': '214005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/724478_214005.png', 'name': '5 L'}, {'sku': '214020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/486680_214020.png', 'name': '20 L'}, {'sku': '214060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/735348_214060.png', 'name': '60 L'}, {'sku': '214208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/319017_214208.png', 'name': '208 L'}, {'sku': '214100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/622071_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/gt-10w-40-p3981/,GT 10W-40,337XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/762149_337xxx.png'],"['<p>Low-viscosity, partially synthetic engine oil for gas and diesel engines used in passenger cars (including turbo models and except pump-jet engines). Good cold start characteristics are combined with excellent ""stay in grade"" properties.</p>']","['<li>ACEA A3/B4</li>', '<li>API SL</li>', '<li>API CF</li>', '<li>VW 501.01</li>', '<li>VW 505.00</li>']","[{'sku': '337001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/410475_337001.png', 'name': '1 L'}, {'sku': '337005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/492178_337005.png', 'name': '5 L'}, {'sku': '337020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/364109_337020.png', 'name': '20 L'}, {'sku': '337060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/701370_337060.png', 'name': '60 L'}, {'sku': '337208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/602019_337208.png', 'name': '208 L'}, {'sku': '337100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/998812_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/synt-5w-40-p3881/,SYNT 5W-40,316XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/848147_316xxx.png'],['<p>Synthetic high-performance engine oil for gas and diesel engines used in passenger cars (except pump-jet engines). Best possible oil penetration at all temperatures and in all usage conditions. Fuel-efficient.</p>'],"['<li>ACEA A3/B4</li>', '<li>API SN</li>', '<li>API CF</li>', '<li>BMW Longlife-01</li>', '<li>MB 226.5</li>', '<li>VW 502.00</li>', '<li>MB 229.3</li>', '<li>VW 505.00</li>', '<li>Porsche A40</li>', '<li>GM LL-B-025</li>', '<li>Fiat 9.55535-M2</li>', '<li>PSA B71 2296</li>', '<li>RN 0700</li>', '<li>RN 0710</li>']","[{'sku': '316001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/620604_316001.png', 'name': '1 L'}, {'sku': '316005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/420986_316005.png', 'name': '5 L'}, {'sku': '316020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/609832_316020.png', 'name': '20 L'}, {'sku': '316060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/769952_316060.png', 'name': '60 L'}, {'sku': '316208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/447846_316208.png', 'name': '208 L'}, {'sku': '316100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/834823_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/cleantec-stl-5w-30-p4171/,CLEANTEC STL 5W-30,393XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/167801_393xxx.png'],['<p>Modern low viscosity motor oil.</p>'],"['<li>ACEA C3</li>', '<li>API SN PLUS</li>', '<li>GM dexos2®</li>', '<li>MB 229.31</li>', '<li>MB 229.51</li>', '<li>MB 229.52</li>', '<li>PSA B71 2290</li>', '<li>PSA B71 2297</li>', '<li>STELLANTIS FPW9.55535/03</li>']","[{'sku': '393001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/998474_393001.png', 'name': '1 L'}, {'sku': '393005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/245522_393005.png', 'name': '5 L'}, {'sku': '393020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/911838_393020.png', 'name': '20 L'}, {'sku': '393060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/142921_393060.png', 'name': '60 L'}, {'sku': '393208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/262325_393208.png', 'name': '208 L'}, {'sku': '393100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/941287_393100.png', 'name': '1000 L'}]"
https://eurolub.com/en/super-eco-0w-20-p3760/,SUPER ECO 0W-20,226XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/389175_226xxx.png'],"['<p>Fuel-saving, specially composed engine oil. Suitable for modern petrol an diesel engines in cars and vans.</p>']","['<li>ACEA C5</li>', '<li>API SQ (RC)</li>', '<li>ACEA C6</li>', '<li>MB 229.72</li>', '<li>MB 229.71</li>', '<li>ILSAC GF-7A</li>', '<li>BMW Longlife-14 FE+</li>', '<li>Ford WSS-M2C947-B1</li>', '<li>BMW Longlife-17 FE+</li>', '<li>Ford WSS-M2C954-A1</li>', '<li>Ford WSS-M2C962-A1</li>', '<li>GM dexosD™</li>', '<li>Chrysler MS 12145</li>', '<li>OPEL OV0401547-A20</li>', '<li>Volvo VCC RBS0-2AE</li>', '<li>Fiat 9.55535-GSX</li>', '<li>VWC 53037</li>']","[{'sku': '226001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/91774_226001.png', 'name': '1 L'}, {'sku': '226005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/699968_226005.png', 'name': '5 L'}, {'sku': '226020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/847320_226020.png', 'name': '20 L'}, {'sku': '226060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/635997_226060.png', 'name': '60 L'}, {'sku': '226208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/645177_226208.png', 'name': '208 L'}, {'sku': '226100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/7826_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/eco-fe-ll4-0w-20-p3713/,ECO FE LL4 0W-20,215XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/945439_215xxx.png'],['<p>Motor oil developed for VAG models for extreme fuel-saving.</p>'],"['<li>ACEA C5</li>', '<li>VW 508.00</li>', '<li>VW 509.00</li>', '<li>Porsche C20</li>', '<li>Ford WSS-M2C956-A1</li>']","[{'sku': '215001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/90941_215001.png', 'name': '1 L'}, {'sku': '215005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/841790_215005.png', 'name': '5 L'}, {'sku': '215020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/515582_215020.png', 'name': '20 L'}, {'sku': '215060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/518679_215060.png', 'name': '60 L'}, {'sku': '215208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/795424_215208.png', 'name': '208 L'}, {'sku': '215100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/114144_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/synt-m-5w-40-p4178/,SYNT M 5W-40,395XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/236247_395xxx.png'],"['<p>State-of-the-art modern technology-based, premium, multi-grade, engine oil for use in car petrol and diesel engines according to manufacturer´s instructions.</p>']","['<li>ACEA A3/B4</li>', '<li>API SN</li>', '<li>API CF</li>', '<li>MB 229.3</li>', '<li>BMW Longlife-01</li>', '<li>MB 229.5</li>', '<li>VW 502.00</li>', '<li>VW 505.00</li>', '<li>Porsche A40</li>', '<li>RN 0700</li>', '<li>RN 0710</li>', '<li>Fiat 9.55535-H2</li>', '<li>Fiat 9.55535-M2</li>', '<li>GM LL-B-025</li>', '<li>PSA B71 2296</li>']","[{'sku': '395001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/276616_395001.png', 'name': '1 L'}, {'sku': '395005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/357388_395005.png', 'name': '5 L'}, {'sku': '395020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/652098_395020.png', 'name': '20 L'}, {'sku': '395060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/492665_395060.png', 'name': '60 L'}, {'sku': '395208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/593014_395208.png', 'name': '208 L'}, {'sku': '395100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/300048_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/synt-pdi-5w-40-p3854/,SYNT PDI 5W-40,308XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/899345_308xxx.png'],"['<p>Modern based, multi-grade engine oil for car petrol and diesel engines with and without turbocharger including soot particle filter according to manufacturer´s instructions.</p>']","['<li>ACEA C3</li>', '<li>API SN</li>', '<li>API CF</li>', '<li>BMW Longlife-04</li>', '<li>MB 229.51</li>', '<li>MB 229.31</li>', '<li>VW 505.00</li>', '<li>VW 505.01</li>', '<li>GM dexos2®</li>', '<li>Ford WSS-M2C917-A</li>', '<li>RN 0700</li>', '<li>RN 0710</li>', '<li>Porsche A40</li>', '<li>Fiat 9.55535-S2</li>']","[{'sku': '308001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/454654_308001.png', 'name': '1 L'}, {'sku': '308005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/620838_308005.png', 'name': '5 L'}, {'sku': '308020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/41759_308020.png', 'name': '20 L'}, {'sku': '308060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/142038_308060.png', 'name': '60 L'}, {'sku': '308208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/737072_308208.png', 'name': '208 L'}, {'sku': '308100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/942159_211100.png', 'name': '1000 L'}]"
