Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Margins,Price / International,Compare At Price / International,Status
mishimoto-mmaf-3005s-air-filter-elements,Mishimoto MMAF-3005S Air Filter Elements,"<h4><strong>Description</strong></h4><p>This is Mishimoto MMAF-3005S Air Filter Elements</p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Air Filter Elements</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMAF-3005S</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Filters,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Filters, Category_Air Filters",TRUE,Title,Default Title,,,,,MMAF-3005S,5000,shopify,continue,manual,74.1,78,TRUE,TRUE,MMAF-3005S,https://static.summitracing.com/global/images/prod/xlarge/mio-mmaf-2756s_xl.jpg,1,Mishimoto MMAF-3005S Air Filter Elements,,Mishimoto MMAF-3005S Air Filter Elements,Get Mishimoto MMAF-3005S Air Filter Elements for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMAF-3005S,,,new,,,,,,,,kg,8708949900,48.75,,,,active
mishimoto-mmaf-3506-air-filter-elements,Mishimoto MMAF-3506 Air Filter Elements,"<h4><strong>Description</strong></h4><p>This is Mishimoto MMAF-3506 Air Filter Elements</p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Air Filter Elements</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMAF-3506</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Filters,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Filters, Category_Air Filters",TRUE,Title,Default Title,,,,,MMAF-3506,5000,shopify,continue,manual,57,60,TRUE,TRUE,MMAF-3506,https://static.summitracing.com/global/images/prod/xlarge/mio-mmaf-3506_xl.jpg,1,Mishimoto MMAF-3506 Air Filter Elements,,Mishimoto MMAF-3506 Air Filter Elements,Get Mishimoto MMAF-3506 Air Filter Elements for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMAF-3506,,,new,,,,,,,,kg,8708949900,37.5,,,,active
mishimoto-mmaf-4008-air-filter-elements,Mishimoto MMAF-4008 Air Filter Elements,"<h4><strong>Description</strong></h4><p>This is Mishimoto MMAF-4008 Air Filter Elements</p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Air Filter Elements</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMAF-4008</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Filters,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Filters, Category_Air Filters",TRUE,Title,Default Title,,,,,MMAF-4008,5000,shopify,continue,manual,49.02,51.6,TRUE,TRUE,MMAF-4008,soon,1,Mishimoto MMAF-4008 Air Filter Elements,,Mishimoto MMAF-4008 Air Filter Elements,Get Mishimoto MMAF-4008 Air Filter Elements for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMAF-4008,,,new,,,,,,,,kg,8708949900,32.25,,,,active
mishimoto-mmdbh-crf450x-05ktrd-powersports-silicone-hose-kits-for-2005-2013-crf450x,Mishimoto MMDBH-CRF450X-05KTRD Powersports Silicone Hose Kits for 2005-2013 CRF450X,"<h4><strong>Description</strong></h4><p>Mishimoto powersports silicone hose kits are made out of high-grade silicone, combined with heat-resistant embedded fibers, and engineered for a direct OEM fit. These silicone hose kits add function and style to your ride by providing increased pressure tolerances and heat reduction. Plus, they are available in black, blue, red, and green.</p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Powersports Hose Kits, Cooling System</div><div><strong>Product Line:</strong></div><div>Mishimoto Powersports Silicone Hose Kits</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMDBH-CRF450X-05KTRD</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Cooling & Radiator,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Cooling & Radiator, Category_Radiator Hose Kit",TRUE,Title,Default Title,,,,,MMDBH-CRF450X-05KTRD,7000,shopify,continue,manual,71.82,75.6,TRUE,TRUE,MMDBH-CRF450X-05KTRD,https://static.summitracing.com/global/images/prod/large/MIO-C450X05KTRD.jpg,1,Mishimoto MMDBH-CRF450X-05KTRD Powersports Silicone Hose Kits for 2005-2013 CRF450X,,Mishimoto MMDBH-CRF450X-05KTRD Powersports Silicone Hose Kits for 2005-2013 CRF450X,Get Mishimoto MMDBH-CRF450X-05KTRD Powersports Silicone Hose Kits for 2005-2013 CRF450X for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMDBH-CRF450X-05KTRD,,,new,,,,,,,,kg,8708949900,47.25,,,,active
mishimoto-mmdbh-ktm2-03bk-powersports-silicone-hose-kits,Mishimoto MMDBH-KTM2-03BK Powersports Silicone Hose Kits,"<h4><strong>Description</strong></h4><p>Mishimoto powersports silicone hose kits are made out of high-grade silicone, combined with heat-resistant embedded fibers, and engineered for a direct OEM fit. These silicone hose kits add function and style to your ride by providing increased pressure tolerances and heat reduction. Plus, they are available in black, blue, red, and green.</p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Powersports Hose Kits, Cooling System</div><div><strong>Product Line:</strong></div><div>Mishimoto Powersports Silicone Hose Kits</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMDBH-KTM2-03BK</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Cooling & Radiator,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Cooling & Radiator, Category_Radiator Hose Kit",TRUE,Title,Default Title,,,,,MMDBH-KTM2-03BK,7000,shopify,continue,manual,43.32,45.6,TRUE,TRUE,MMDBH-KTM2-03BK,https://static.summitracing.com/global/images/prod/large/MIO-DBHKTM203BK.jpg,1,Mishimoto MMDBH-KTM2-03BK Powersports Silicone Hose Kits,,Mishimoto MMDBH-KTM2-03BK Powersports Silicone Hose Kits,Get Mishimoto MMDBH-KTM2-03BK Powersports Silicone Hose Kits for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMDBH-KTM2-03BK,,,new,,,,,,,,kg,8708949900,28.5,,,,active
mishimoto-mmdbh-yz450f-00ktbl-powersports-silicone-hose-kits-for-2003-2005-yz450f,Mishimoto MMDBH-YZ450F-00KTBL Powersports Silicone Hose Kits for 2003-2005 YZ450F,"<h4><strong>Description</strong></h4><p>Mishimoto powersports silicone hose kits are made out of high-grade silicone, combined with heat-resistant embedded fibers, and engineered for a direct OEM fit. These silicone hose kits add function and style to your ride by providing increased pressure tolerances and heat reduction. Plus, they are available in black, blue, red, and green.</p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Powersports Hose Kits, Cooling System</div><div><strong>Product Line:</strong></div><div>Mishimoto Powersports Silicone Hose Kits</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMDBH-YZ450F-00KTBL</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Cooling & Radiator,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Cooling & Radiator, Category_Radiator Hose Kit",TRUE,Title,Default Title,,,,,MMDBH-YZ450F-00KTBL,7000,shopify,continue,manual,71.82,75.6,TRUE,TRUE,MMDBH-YZ450F-00KTBL,https://static.summitracing.com/global/images/prod/large/MIO-YZ450F00KTBL.jpg,1,Mishimoto MMDBH-YZ450F-00KTBL Powersports Silicone Hose Kits for 2003-2005 YZ450F,,Mishimoto MMDBH-YZ450F-00KTBL Powersports Silicone Hose Kits for 2003-2005 YZ450F,Get Mishimoto MMDBH-YZ450F-00KTBL Powersports Silicone Hose Kits for 2003-2005 YZ450F for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMDBH-YZ450F-00KTBL,,,new,,,,,,,,kg,8708949900,47.25,,,,active
mishimoto-mmdb-ktm4-08rx-performance-radiators,Mishimoto MMDB-KTM4-08RX Performance Radiators,"<h4><strong>Description</strong></h4><p>Mishimoto performance radiators are designed and engineered to maximize cooling efficiency, boost engine functions, and, most of all, protect your engine from overheating. Many stock radiators can't handle the additional heat that comes higher horsepower levels. So, swap out your stock radiator for an all-aluminum Mishimoto.<br>Key features and benefits of Mishimoto performance radiators include:<br>Available for universal and exact fit applications (no cutting or modifications required)<br>All-aluminum construction for optimal heat dissipation, improved strength, and reliability<br>Increased cooling capacity due to their massive core size<br>100 percent brazed aluminum core for minimal distortion, low stress, and clean joints<br>Available in various sizes with 2-row or 3-row cores<br>TIG-welded for clean, strong welds and increased durability<br>Magnetic drain plugs capture metallic debris or fragments<br>Included high-pressure 1.3 bar cap raises the coolant boiling point for greater safety and efficiency<br>Automatic transmission and accessory coolers included where applicable<br></p>        <p>&nbsp;</p><h4>Features</h4><div><strong>Part Type:</strong></div><div>Radiators</div><div><strong>Product Line:</strong></div><div>Mishimoto Performance Radiators</div>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MMDB-KTM4-08RX</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mishimoto</p>",Mishimoto,,Cooling & Radiator,"Uploaded by_Muazzim, Brand_Mishimoto, MLP Discount 2025, 2025_New Products, Product Type_Cooling & Radiator, Category_Radiators",TRUE,Title,Default Title,,,,,MMDB-KTM4-08RX,25000,shopify,continue,manual,125.4,132,TRUE,TRUE,MMDB-KTM4-08RX,https://static.summitracing.com/global/images/prod/xlarge/mio-mmdbktm408rx_xl.jpg,1,Mishimoto MMDB-KTM4-08RX Performance Radiators,,Mishimoto MMDB-KTM4-08RX Performance Radiators,Get Mishimoto MMDB-KTM4-08RX Performance Radiators for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MMDB-KTM4-08RX,,,new,,,,,,,,kg,8708949900,82.5,,,,active
mishimoto-mmdb-ktm4-08rx-performance-radiators,,,,,,,,,,,,,,,,,,,,,,,,https://static.summitracing.com/global/images/prod/xlarge/mio-mmdbktm408rx_uj_xl.jpg,2,Mishimoto MMDB-KTM4-08RX Performance Radiators,,,,,,,,,,,,,,,,,,,,,,,,
mishimoto-mmdb-ktm4-08rx-performance-radiators,,,,,,,,,,,,,,,,,,,,,,,,https://static.summitracing.com/global/images/prod/xlarge/mio-mmdbktm408rx_cc_xl.jpg,3,Mishimoto MMDB-KTM4-08RX Performance Radiators,,,,,,,,,,,,,,,,,,,,,,,,
mishimoto-mmdb-ktm4-08rx-performance-radiators,,,,,,,,,,,,,,,,,,,,,,,,https://static.summitracing.com/global/images/prod/xlarge/mio-mmdbktm408rx_md_xl.jpg,4,Mishimoto MMDB-KTM4-08RX Performance Radiators,,,,,,,,,,,,,,,,,,,,,,,,
