Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Margins,Price / International,Compare At Price / International,Status
mintex-mdb2127-front-brake-pad-set-fits-vw-gol-parati-pointer-saveiro,Mintex MDB2127 Front Brake Pad Set Fits VW Gol Parati Pointer Saveiro,"<h4><strong>Description</strong></h4>This is Mintex MDB2127 Front Brake Pad Set Fits VW Gol Parati Pointer Saveiro        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>8.1</td></tr><tr><td>Packaging length (cm)</td><td>12.5</td></tr><tr><td>Wva number</td><td>23546</td></tr><tr><td>Weight (kg)</td><td>1.1</td></tr><tr><td>Wear warning contact</td><td>not prepared for wear warning indicator</td></tr><tr><td>Width (mm)</td><td>104.2</td></tr><tr><td>Thickness (mm)</td><td>16</td></tr><tr><td>Brake system</td><td>varga</td></tr><tr><td>Supplementary article/supplementary info 2</td><td>with brake caliper screws</td></tr><tr><td>Height (mm)</td><td>53.4</td></tr><tr><td>Packaging height (cm)</td><td>8</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB2127</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB2127,1030,shopify,continue,manual,18.95,18.95,TRUE,TRUE,'5028740060356,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463330/17598356720219.webp,1,Mintex MDB2127 Front Brake Pad Set Fits VW Gol Parati Pointer Saveiro,,Mintex MDB2127 Front Brake Pad Set Fits VW Gol Parati Pointer Saveiro,Get Mintex MDB2127 Front Brake Pad Set Fits VW Gol Parati Pointer Saveiro for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB2127,,,new,,,,,,,,kg,8708949900,14.21,,,,active
mintex-mdb2172-front-brake-pad-set-fits-honda-lagreat-odyssey,Mintex MDB2172 Front Brake Pad Set Fits Honda Lagreat Odyssey,"<h4><strong>Description</strong></h4>This is Mintex MDB2172 Front Brake Pad Set Fits Honda Lagreat Odyssey        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>8.8</td></tr><tr><td>Packaging length (cm)</td><td>15.2</td></tr><tr><td>Wva number</td><td>24805</td></tr><tr><td>Weight (kg)</td><td>1.72</td></tr><tr><td>Number of wear indicators (Per Axle)</td><td>2</td></tr><tr><td>Wear warning contact</td><td>with acoustic wear warning</td></tr><tr><td>Supplementary article/supplementary info</td><td>with accessories</td></tr><tr><td>Width (mm)</td><td>139.4</td></tr><tr><td>Thickness (mm)</td><td>18</td></tr><tr><td>Height (mm)</td><td>56.5</td></tr><tr><td>Packaging height (cm)</td><td>8.4</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB2172</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB2172,1420,shopify,continue,manual,26.89,26.89,TRUE,TRUE,'5028740068055,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463356/17598356882106.webp,1,Mintex MDB2172 Front Brake Pad Set Fits Honda Lagreat Odyssey,,Mintex MDB2172 Front Brake Pad Set Fits Honda Lagreat Odyssey,Get Mintex MDB2172 Front Brake Pad Set Fits Honda Lagreat Odyssey for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB2172,,,new,,,,,,,,kg,8708949900,20.17,,,,active
mintex-mdb2977-front-brake-pad-set-fits-toyota-nissan-almera-cube-latio-livina--more,Mintex MDB2977 Front Brake Pad Set Fits Toyota Nissan Almera Cube Latio Livina / + more,"<h4><strong>Description</strong></h4>This is Mintex MDB2977 Front Brake Pad Set Fits Toyota Nissan Almera Cube Latio Livina / + more        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>8.8</td></tr><tr><td>Packaging length (cm)</td><td>15.2</td></tr><tr><td>Wva number</td><td>24724</td></tr><tr><td>Weight (kg)</td><td>1.2</td></tr><tr><td>Number of wear indicators (Per Axle)</td><td>2</td></tr><tr><td>Wear warning contact</td><td>with acoustic wear warning</td></tr><tr><td>Width (mm)</td><td>138.8</td></tr><tr><td>Thickness (mm)</td><td>14</td></tr><tr><td>Brake system</td><td>akebono</td></tr><tr><td>Height (mm)</td><td>48.4</td></tr><tr><td>Packaging height (cm)</td><td>8.4</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB2977</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB2977,1120,shopify,continue,manual,19.91,19.91,TRUE,TRUE,'5028740694919,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463764/17598363928606.webp,1,Mintex MDB2977 Front Brake Pad Set Fits Toyota Nissan Almera Cube Latio Livina / + more,,Mintex MDB2977 Front Brake Pad Set Fits Toyota Nissan Almera Cube Latio Livina / + more,Get Mintex MDB2977 Front Brake Pad Set Fits Toyota Nissan Almera Cube Latio Livina / + more for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB2977,,,new,,,,,,,,kg,8708949900,14.93,,,,active
mintex-mdb3103-front-brake-pad-set-fits-toyota-vw-4-runner-hilux-land-cruiser-land-crui,Mintex MDB3103 Front Brake Pad Set Fits Toyota VW 4 Runner Hilux Land Cruiser Land Crui,"<h4><strong>Description</strong></h4>This is Mintex MDB3103 Front Brake Pad Set Fits Toyota VW 4 Runner Hilux Land Cruiser Land Crui        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>8.8</td></tr><tr><td>Packaging length (cm)</td><td>15.2</td></tr><tr><td>Wva number</td><td>21679</td></tr><tr><td>Weight (kg)</td><td>2.06</td></tr><tr><td>Wear warning contact</td><td>with acoustic wear warning</td></tr><tr><td>Article number of recommended accessories</td><td>mba1129</td></tr><tr><td>Height 2 (mm)</td><td>73.5</td></tr><tr><td>Height 1 (mm)</td><td>68.1</td></tr><tr><td>Width 2 (mm)</td><td>119.4</td></tr><tr><td>Width 1 (mm)</td><td>119.4</td></tr><tr><td>Thickness (mm)</td><td>15</td></tr><tr><td>Brake system</td><td>sumitomo</td></tr><tr><td>Packaging height (cm)</td><td>8.4</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB3103</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB3103,1540,shopify,continue,manual,23.28,23.28,TRUE,TRUE,'5028740762137,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463847/17598366393889.webp,1,Mintex MDB3103 Front Brake Pad Set Fits Toyota VW 4 Runner Hilux Land Cruiser Land Crui,,Mintex MDB3103 Front Brake Pad Set Fits Toyota VW 4 Runner Hilux Land Cruiser Land Crui,Get Mintex MDB3103 Front Brake Pad Set Fits Toyota VW 4 Runner Hilux Land Cruiser Land Crui for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB3103,,,new,,,,,,,,kg,8708949900,17.46,,,,active
mintex-mdb3308-rear-brake-pad-set-fits-honda-chevrolet-isuzu,Mintex MDB3308 Rear Brake Pad Set Fits Honda Chevrolet Isuzu,"<h4><strong>Description</strong></h4>This is Mintex MDB3308 Rear Brake Pad Set Fits Honda Chevrolet Isuzu        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Rear Left</td></tr><tr><td>Packaging width (cm)</td><td>8.1</td></tr><tr><td>Packaging length (cm)</td><td>12.5</td></tr><tr><td>Wva number</td><td>25434</td></tr><tr><td>Weight (kg)</td><td>1.04</td></tr><tr><td>Number of wear indicators (Per Axle)</td><td>2</td></tr><tr><td>Wear warning contact</td><td>incl. wear warning contact</td></tr><tr><td>Supplementary article/supplementary info</td><td>with accessories</td></tr><tr><td>Width (mm)</td><td>113.4</td></tr><tr><td>Thickness (mm)</td><td>15.8</td></tr><tr><td>Brake system</td><td>akebono</td></tr><tr><td>Supplementary article/supplementary info 2</td><td>with brake caliper screws</td></tr><tr><td>Height (mm)</td><td>48.2</td></tr><tr><td>Packaging height (cm)</td><td>8</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB3308</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB3308,1050,shopify,continue,manual,24.77,24.77,TRUE,TRUE,'5028740788861,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463971/17598368297338.webp,1,Mintex MDB3308 Rear Brake Pad Set Fits Honda Chevrolet Isuzu,,Mintex MDB3308 Rear Brake Pad Set Fits Honda Chevrolet Isuzu,Get Mintex MDB3308 Rear Brake Pad Set Fits Honda Chevrolet Isuzu for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB3308,,,new,,,,,,,,kg,8708949900,18.58,,,,active
mintex-mdb3350-front-brake-pad-set-fits-polestar-polestar-2,Mintex MDB3350 Front Brake Pad Set Fits Polestar Polestar 2,"<h4><strong>Description</strong></h4>This is Mintex MDB3350 Front Brake Pad Set Fits Polestar Polestar 2        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>12.8</td></tr><tr><td>Packaging length (cm)</td><td>25.8</td></tr><tr><td>Wva number</td><td>26531</td></tr><tr><td>Weight (kg)</td><td>1</td></tr><tr><td>Wear warning contact</td><td>prepared for wear warning indicator</td></tr><tr><td>Supplementary article/supplementary info</td><td>with accessories</td></tr><tr><td>Width (mm)</td><td>137.8</td></tr><tr><td>Thickness (mm)</td><td>17.7</td></tr><tr><td>Brake system</td><td>brembo</td></tr><tr><td>Supplementary article/supplementary info 2</td><td>with brake caliper screws</td></tr><tr><td>Height (mm)</td><td>94.9</td></tr><tr><td>Packaging height (cm)</td><td>10</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB3350</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB3350,1000,shopify,continue,manual,86.83,86.83,TRUE,TRUE,'5059112079393,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463998/17598368236833.webp,1,Mintex MDB3350 Front Brake Pad Set Fits Polestar Polestar 2,,Mintex MDB3350 Front Brake Pad Set Fits Polestar Polestar 2,Get Mintex MDB3350 Front Brake Pad Set Fits Polestar Polestar 2 for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB3350,,,new,,,,,,,,kg,8708949900,65.12,,,,active
mintex-mdb3350-front-brake-pad-set-fits-polestar-polestar-2,,,,,,,,,,,,,,,,,,,,,,,,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/463998/17598368098908.webp,2,Mintex MDB3350 Front Brake Pad Set Fits Polestar Polestar 2,,,,,,,,,,,,,,,,,,,,,,,,
mintex-mdb3395-front-brake-pad-set-fits-audi-vw-passat-q3-tiguan,Mintex MDB3395 Front Brake Pad Set Fits Audi VW Passat Q3 Tiguan,"<h4><strong>Description</strong></h4>This is Mintex MDB3395 Front Brake Pad Set Fits Audi VW Passat Q3 Tiguan        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>12</td></tr><tr><td>Packaging length (cm)</td><td>17</td></tr><tr><td>Wva number</td><td>24334</td></tr><tr><td>Thickness 2 (mm)</td><td>19.5</td></tr><tr><td>Thickness 1 (mm)</td><td>20</td></tr><tr><td>Number of wear indicators (Per Axle)</td><td>1</td></tr><tr><td>Wear warning contact</td><td>with integrated wear warning contact</td></tr><tr><td>Height 2 (mm)</td><td>71.9</td></tr><tr><td>Height 1 (mm)</td><td>66.4</td></tr><tr><td>Width (mm)</td><td>155.2</td></tr><tr><td>Brake system</td><td>teves</td></tr><tr><td>Packaging height (cm)</td><td>8.3</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB3395</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB3395,2000,shopify,continue,manual,33.2,33.2,TRUE,TRUE,'5028740808705,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/464025/17598368183082.webp,1,Mintex MDB3395 Front Brake Pad Set Fits Audi VW Passat Q3 Tiguan,,Mintex MDB3395 Front Brake Pad Set Fits Audi VW Passat Q3 Tiguan,Get Mintex MDB3395 Front Brake Pad Set Fits Audi VW Passat Q3 Tiguan for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB3395,,,new,,,,,,,,kg,8708949900,24.9,,,,active
mintex-mdb3400-front-brake-pad-set-fits-mercedes-c-class-cle-e-class,Mintex MDB3400 Front Brake Pad Set Fits Mercedes C-Class Cle E-Class,"<h4><strong>Description</strong></h4>This is Mintex MDB3400 Front Brake Pad Set Fits Mercedes C-Class Cle E-Class        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>12</td></tr><tr><td>Packaging length (cm)</td><td>17</td></tr><tr><td>Wva number</td><td>26519</td></tr><tr><td>Weight (kg)</td><td>0.001</td></tr><tr><td>Wear warning contact</td><td>prepared for wear warning indicator</td></tr><tr><td>Width (mm)</td><td>141.6</td></tr><tr><td>Thickness (mm)</td><td>17.5</td></tr><tr><td>Brake system</td><td>brembo</td></tr><tr><td>Height (mm)</td><td>87.3</td></tr><tr><td>Packaging height (cm)</td><td>8.3</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB3400</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB3400,1000,shopify,continue,manual,53.85,53.85,TRUE,TRUE,'5059112084397,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/464029/17598369440679.webp,1,Mintex MDB3400 Front Brake Pad Set Fits Mercedes C-Class Cle E-Class,,Mintex MDB3400 Front Brake Pad Set Fits Mercedes C-Class Cle E-Class,Get Mintex MDB3400 Front Brake Pad Set Fits Mercedes C-Class Cle E-Class for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB3400,,,new,,,,,,,,kg,8708949900,40.39,,,,active
mintex-mdb3434-front-brake-pad-set-fits-vw-gol-saveiro,Mintex MDB3434 Front Brake Pad Set Fits VW Gol Saveiro,"<h4><strong>Description</strong></h4>This is Mintex MDB3434 Front Brake Pad Set Fits VW Gol Saveiro        <p>&nbsp;</p><h4>Features</h4><table><tbody><tr><td>Fitting position</td><td>Front</td></tr><tr><td>Packaging width (cm)</td><td>13.4</td></tr><tr><td>Packaging length (cm)</td><td>20.9</td></tr><tr><td>Wva number</td><td>25669</td></tr><tr><td>Weight (kg)</td><td>1.924</td></tr><tr><td>Wear warning contact</td><td>not prepared for wear warning indicator</td></tr><tr><td>Width (mm)</td><td>146</td></tr><tr><td>Thickness (mm)</td><td>17</td></tr><tr><td>Brake system</td><td>teves</td></tr><tr><td>Height (mm)</td><td>53.9</td></tr><tr><td>Packaging height (cm)</td><td>8.8</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>MINTEX-MDB3434</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>Mintex</p>",Mintex,,Brake,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_Mintex, Product Type_Brake, Category_Brake Pads",TRUE,Title,Default Title,,,,,MINTEX-MDB3434,1900,shopify,continue,manual,18.64,18.64,TRUE,TRUE,'5028740931687,https://azmotorfactors.co.uk//assets/modules/mod_ecommerce/prod_images/464050/17598369476275.webp,1,Mintex MDB3434 Front Brake Pad Set Fits VW Gol Saveiro,,Mintex MDB3434 Front Brake Pad Set Fits VW Gol Saveiro,Get Mintex MDB3434 Front Brake Pad Set Fits VW Gol Saveiro for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,MDB3434,,,new,,,,,,,,kg,8708949900,13.98,,,,active
