Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Margins,Price / International,Compare At Price / International,Status
don-pcp1012-brake-pads-full-set-of-4-rear,DON PCP1012 Brake Pads Full Set Of 4 Rear,"<h4><strong>Description</strong></h4><p>This is DON PCP1012 Brake Pads Full Set Of 4 Rear</p>        <p>&nbsp;</p><h4>Features</h4><table><thead><tr><th>Name</th><th>Value</th></tr></thead><tbody><tr><td>Width [mm]</td><td>123</td></tr><tr><td>Height [mm]</td><td>51,9</td></tr><tr><td>Thickness [mm]</td><td>16,7</td></tr><tr><td>Wear Warning Contact</td><td>prepared for wear warning indicator</td></tr><tr><td>WVA Number</td><td>24137</td></tr><tr><td>Brake System</td><td>Teves</td></tr><tr><td>Packaging length [cm]</td><td>17,8</td></tr><tr><td>Packaging width [cm]</td><td>14,6</td></tr><tr><td>Packaging height [cm]</td><td>5,2</td></tr><tr><td>Weight [kg]</td><td>1</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>DON-PCP1012</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>DON</p>",DON,,,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_DON, Product Type_",TRUE,Title,Default Title,,,,,DON-PCP1012,1000,shopify,continue,manual,,,TRUE,TRUE,'5028740901130,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1012-brake-pads-full-set-of-4-rear-pcp1012-don-30288128704575_x640.jpg?v=1765691076,1,DON PCP1012 Brake Pads Full Set Of 4 Rear,,DON PCP1012 Brake Pads Full Set Of 4 Rear,Get DON PCP1012 Brake Pads Full Set Of 4 Rear for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,PCP1012,,,new,,,,,,,,kg,8708949900,8.89,,,,active
don-pcp1012-brake-pads-full-set-of-4-rear,,,,,,,,,,,,,,,,,,,,,,,,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1012-brake-pad-set-disc-brake-pcp1012-don-30248860090431_x640.jpg?v=1765691076,2,DON PCP1012 Brake Pads Full Set Of 4 Rear,,,,,,,,,,,,,,,,,,,,,,,,
don-pcp1012-brake-pads-full-set-of-4-rear,,,,,,,,,,,,,,,,,,,,,,,,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1012-brake-pads-full-set-of-4-rear-pcp1012-don-30357282553919_x640.jpg?v=1765691078,3,DON PCP1012 Brake Pads Full Set Of 4 Rear,,,,,,,,,,,,,,,,,,,,,,,,
don-pcp1015-brake-pads-full-set-of-4-front,DON PCP1015 Brake Pads Full Set Of 4 Front,"<h4><strong>Description</strong></h4><p>This is DON PCP1015 Brake Pads Full Set Of 4 Front</p>        <p>&nbsp;</p><h4>Features</h4><table><thead><tr><th>Name</th><th>Value</th></tr></thead><tbody><tr><td>Width 1 [mm]</td><td>156,5</td></tr><tr><td>Width 2 [mm]</td><td>155,1</td></tr><tr><td>Height 1 [mm]</td><td>76</td></tr><tr><td>Height 2 [mm]</td><td>69,6</td></tr><tr><td>Thickness 1 [mm]</td><td>19,6</td></tr><tr><td>Thickness 2 [mm]</td><td>20,6</td></tr><tr><td>Wear Warning Contact</td><td>with acoustic wear warning</td></tr><tr><td>WVA Number</td><td>23832</td></tr><tr><td>Brake System</td><td>Teves</td></tr><tr><td>Packaging length [cm]</td><td>25,8</td></tr><tr><td>Packaging width [cm]</td><td>16,8</td></tr><tr><td>Packaging height [cm]</td><td>6,5</td></tr><tr><td>Weight [kg]</td><td>2</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>DON-PCP1015</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>DON</p>",DON,,,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_DON, Product Type_",TRUE,Title,Default Title,,,,,DON-PCP1015,2080,shopify,continue,manual,,,TRUE,TRUE,'5028740901192,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1015-brake-pads-full-set-of-4-front-pcp1015-don-30288140468287_x640.jpg?v=1765689480,1,DON PCP1015 Brake Pads Full Set Of 4 Front,,DON PCP1015 Brake Pads Full Set Of 4 Front,Get DON PCP1015 Brake Pads Full Set Of 4 Front for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,PCP1015,,,new,,,,,,,,kg,8708949900,9.88,,,,active
don-pcp1015-brake-pads-full-set-of-4-front,,,,,,,,,,,,,,,,,,,,,,,,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1015-brake-pads-full-set-of-4-front-pcp1015-don-30357246115903_x640.jpg?v=1765689489,2,DON PCP1015 Brake Pads Full Set Of 4 Front,,,,,,,,,,,,,,,,,,,,,,,,
don-pcp1051-brake-pads-full-set-of-4-front,DON PCP1051 Brake Pads Full Set Of 4 Front,"<h4><strong>Description</strong></h4><p>This is DON PCP1051 Brake Pads Full Set Of 4 Front</p>        <p>&nbsp;</p><h4>Features</h4><table><thead><tr><th>Name</th><th>Value</th></tr></thead><tbody><tr><td>Width 1 [mm]</td><td>140,3</td></tr><tr><td>Width 2 [mm]</td><td>141,5</td></tr><tr><td>Height 1 [mm]</td><td>58,3</td></tr><tr><td>Height 2 [mm]</td><td>48</td></tr><tr><td>Thickness 1 [mm]</td><td>16,8</td></tr><tr><td>Thickness 2 [mm]</td><td>17,3</td></tr><tr><td>Wear Warning Contact</td><td>prepared for wear warning indicator</td></tr><tr><td>WVA Number</td><td>20547</td></tr><tr><td>Brake System</td><td>Teves</td></tr><tr><td>Packaging length [cm]</td><td>17,8</td></tr><tr><td>Packaging width [cm]</td><td>14,6</td></tr><tr><td>Packaging height [cm]</td><td>5,2</td></tr><tr><td>Weight [kg]</td><td>1,259</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>DON-PCP1051</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>DON</p>",DON,,,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_DON, Product Type_",TRUE,Title,Default Title,,,,,DON-PCP1051,1295,shopify,continue,manual,,,TRUE,TRUE,'5028740901413,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1051-brake-pads-full-set-of-4-front-pcp1051-don-30288322658367_x640.jpg?v=1765691846,1,DON PCP1051 Brake Pads Full Set Of 4 Front,,DON PCP1051 Brake Pads Full Set Of 4 Front,Get DON PCP1051 Brake Pads Full Set Of 4 Front for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,PCP1051,,,new,,,,,,,,kg,8708949900,6.58,,,,active
don-pcp1051-brake-pads-full-set-of-4-front,,,,,,,,,,,,,,,,,,,,,,,,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1051-brake-pad-set-disc-brake-pcp1051-don-30248868413503_x640.jpg?v=1765691847,2,DON PCP1051 Brake Pads Full Set Of 4 Front,,,,,,,,,,,,,,,,,,,,,,,,
don-pcp1051-brake-pads-full-set-of-4-front,,,,,,,,,,,,,,,,,,,,,,,,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1051-brake-pads-full-set-of-4-front-pcp1051-don-30357298511935_x640.jpg?v=1765691848,3,DON PCP1051 Brake Pads Full Set Of 4 Front,,,,,,,,,,,,,,,,,,,,,,,,
don-pcp1052-brake-pads-full-set-of-4-rear,DON PCP1052 Brake Pads Full Set Of 4 Rear,"<h4><strong>Description</strong></h4><p>This is DON PCP1052 Brake Pads Full Set Of 4 Rear</p>        <p>&nbsp;</p><h4>Features</h4><table><thead><tr><th>Name</th><th>Value</th></tr></thead><tbody><tr><td>Width [mm]</td><td>116,6</td></tr><tr><td>Height [mm]</td><td>42,6</td></tr><tr><td>Thickness [mm]</td><td>16,2</td></tr><tr><td>Wear Warning Contact</td><td>with acoustic wear warning</td></tr><tr><td>Number of wear indicators [per axle]</td><td>2</td></tr><tr><td>Supplementary Article/Supplementary Info</td><td>with accessories</td></tr><tr><td>WVA Number</td><td>25096</td></tr><tr><td>Brake System</td><td>TRW</td></tr><tr><td>Packaging length [cm]</td><td>13</td></tr><tr><td>Packaging width [cm]</td><td>10,4</td></tr><tr><td>Packaging height [cm]</td><td>6,2</td></tr><tr><td>Weight [kg]</td><td>1</td></tr></tbody></table>        <p>&nbsp;</p>        <h4>Compatibility</h4><p>Feel free to contact us at info@mlperformance.co.uk should you wish to double check!</p>        <p>&nbsp;</p>        <h4>Compatibility Check</h4><p>To ensure the part(s) you have ordered fits your vehicle, we run a compatibility check prior to dispatch. We can do this either using your registration number (UK) or the last 7 digits of your VIN. Simply enter your car details prior to checkout.</p>        <p>&nbsp;</p>        <h4>Part Number</h4><p>DON-PCP1052</p>        <p>&nbsp;</p>        <h4>More Information</h4><p><strong>Manufactured by</strong></p><p>DON</p>",DON,,,"Uploaded by_Muazzim, 2026_New Products, MLP Discount 2026, Brand_DON, Product Type_",TRUE,Title,Default Title,,,,,DON-PCP1052,1230,shopify,continue,manual,,,TRUE,TRUE,'5028740900836,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1052-brake-pads-full-set-of-4-rear-pcp1052-don-30288271245375_x640.jpg?v=1765688019,1,DON PCP1052 Brake Pads Full Set Of 4 Rear,,DON PCP1052 Brake Pads Full Set Of 4 Rear,Get DON PCP1052 Brake Pads Full Set Of 4 Rear for your car to get your desired looks and performance from ML Performance at the lowest price with FREE UK shipping & next day delivery on in stock items. Very cheap prices & good service.,,,,PCP1052,,,new,,,,,,,,kg,8708949900,14.32,,,,active
don-pcp1052-brake-pads-full-set-of-4-rear,,,,,,,,,,,,,,,,,,,,,,,,https://tradevehicleparts.co.uk/cdn/shop/products/pcp1052-brake-pad-set-disc-brake-pcp1052-don-30249364947007_x640.jpg?v=1765688020,2,DON PCP1052 Brake Pads Full Set Of 4 Rear,,,,,,,,,,,,,,,,,,,,,,,,
